"","Squad","Country","LgRk","GF_90","xGF_90","diff_GF","GA_90","xGA_90","diff_GA","GD_90","xGD_90","diff_GD"
"1","Manchester City","ENG",1,2.60526315789474,2.34210526315789,0.263157894736842,0.684210526315789,0.715789473684211,-0.031578947368421,1.92105263157895,1.63,0.291052631578947
"2","Liverpool","ENG",2,2.47368421052632,2.34736842105263,0.126315789473684,0.684210526315789,0.9,-0.215789473684211,1.78947368421053,1.45,0.339473684210527
"3","Bayern Munich","GER",1,2.85294117647059,2.59117647058823,0.261764705882353,1.08823529411765,1.09117647058824,-0.00294117647058845,1.76470588235294,1.5,0.264705882352941
"4","Paris S-G","FRA",1,2.36842105263158,2.01315789473684,0.355263157894737,0.947368421052632,1.01578947368421,-0.068421052631579,1.42105263157895,1,0.421052631578947
"5","Real Madrid","ESP",1,2.10526315789474,1.95526315789474,0.15,0.815789473684211,1.23684210526316,-0.421052631578947,1.28947368421053,0.72,0.569473684210526
"6","Milan","ITA",1,1.81578947368421,1.66052631578947,0.155263157894737,0.815789473684211,0.91578947368421,-0.1,1,0.74,0.26
"7","Inter","ITA",2,2.21052631578947,2.14210526315789,0.0684210526315789,0.842105263157895,1.03157894736842,-0.189473684210526,1.36842105263158,1.11,0.258421052631579
"8","Napoli","ITA",3,1.94736842105263,1.56315789473684,0.38421052631579,0.815789473684211,0.839473684210526,-0.0236842105263158,1.13157894736842,0.73,0.401578947368421
"9","Dortmund","GER",2,2.5,1.84705882352941,0.652941176470588,1.52941176470588,1.27058823529412,0.258823529411764,0.970588235294118,0.58,0.390588235294118
"10","Chelsea","ENG",3,2,1.76842105263158,0.231578947368421,0.868421052631579,0.947368421052632,-0.0789473684210525,1.13157894736842,0.82,0.311578947368421
"11","Barcelona","ESP",2,1.78947368421053,1.63421052631579,0.155263157894737,1,0.944736842105263,0.0552631578947369,0.789473684210526,0.69,0.0994736842105264
"12","Leverkusen","GER",3,2.35294117647059,1.86176470588235,0.491176470588236,1.38235294117647,1.26764705882353,0.114705882352941,0.970588235294118,0.59,0.380588235294118
"13","Tottenham","ENG",4,1.81578947368421,1.71315789473684,0.102631578947369,1.05263157894737,1.03684210526316,0.0157894736842106,0.763157894736842,0.68,0.0831578947368422
"14","Marseille","FRA",2,1.65789473684211,1.55789473684211,0.0999999999999999,1,1.05263157894737,-0.0526315789473684,0.657894736842105,0.5,0.157894736842105
"15","Atlético Madrid","ESP",3,1.71052631578947,1.38947368421053,0.321052631578947,1.13157894736842,0.886842105263158,0.244736842105263,0.578947368421053,0.5,0.0789473684210527
"16","Sevilla","ESP",4,1.39473684210526,1.15,0.244736842105263,0.789473684210526,1.01052631578947,-0.221052631578947,0.605263157894737,0.14,0.465263157894737
"17","Juventus","ITA",4,1.5,1.35526315789474,0.144736842105263,0.973684210526316,1,-0.0263157894736842,0.526315789473684,0.35,0.176315789473684
"18","Monaco","FRA",3,1.71052631578947,1.52631578947368,0.184210526315789,1.05263157894737,1.10526315789474,-0.0526315789473686,0.657894736842105,0.42,0.237894736842105
"19","Arsenal","ENG",5,1.60526315789474,1.57631578947368,0.0289473684210528,1.26315789473684,1.23947368421053,0.0236842105263158,0.342105263157895,0.34,0.00210526315789489
"20","Rennes","FRA",4,2.15789473684211,1.63947368421053,0.518421052631579,1.05263157894737,1.07105263157895,-0.0184210526315791,1.10526315789474,0.57,0.535263157894737
"21","Nice","FRA",5,1.36842105263158,1.5,-0.131578947368421,0.947368421052632,1.18684210526316,-0.239473684210526,0.421052631578947,0.31,0.111052631578947
"22","RB Leipzig","GER",4,2.11764705882353,1.86470588235294,0.252941176470588,1.08823529411765,1.22941176470588,-0.141176470588235,1.02941176470588,0.64,0.389411764705882
"23","Betis","ESP",5,1.63157894736842,1.45,0.181578947368421,1.05263157894737,1.16315789473684,-0.110526315789474,0.578947368421053,0.29,0.288947368421053
"24","Lazio","ITA",5,2.02631578947368,1.46842105263158,0.557894736842105,1.52631578947368,1.27105263157895,0.255263157894737,0.5,0.2,0.3
"25","Union Berlin","GER",5,1.47058823529412,1.48529411764706,-0.0147058823529411,1.29411764705882,1.22352941176471,0.0705882352941176,0.176470588235294,0.26,-0.0835294117647059
"26","Strasbourg","FRA",6,1.57894736842105,1.56052631578947,0.0184210526315791,1.13157894736842,1.12105263157895,0.0105263157894737,0.447368421052632,0.44,0.00736842105263164
"27","Roma","ITA",6,1.55263157894737,1.67631578947368,-0.123684210526316,1.13157894736842,1.01315789473684,0.118421052631579,0.421052631578947,0.66,-0.238947368421053
"28","Lens","FRA",7,1.63157894736842,1.38947368421053,0.242105263157895,1.26315789473684,1.11578947368421,0.147368421052632,0.368421052631579,0.27,0.098421052631579
"29","Fiorentina","ITA",7,1.55263157894737,1.54736842105263,0.00526315789473686,1.34210526315789,1.16052631578947,0.181578947368421,0.210526315789474,0.39,-0.179473684210526
"30","Real Sociedad","ESP",6,1.05263157894737,1.41578947368421,-0.363157894736842,0.973684210526316,1.04736842105263,-0.0736842105263157,0.0789473684210525,0.37,-0.291052631578947
"31","Freiburg","GER",6,1.70588235294118,1.46764705882353,0.238235294117647,1.35294117647059,1.32647058823529,0.0264705882352942,0.352941176470588,0.14,0.212941176470588
"32","Lyon","FRA",8,1.73684210526316,1.85263157894737,-0.115789473684211,1.34210526315789,1.43421052631579,-0.0921052631578947,0.394736842105263,0.42,-0.0252631578947367
"33","Villarreal","ESP",7,1.65789473684211,1.64473684210526,0.0131578947368423,0.973684210526316,1.22368421052632,-0.25,0.684210526315789,0.42,0.26421052631579
"34","Atalanta","ITA",8,1.71052631578947,1.74210526315789,-0.0315789473684212,1.26315789473684,1.18947368421053,0.0736842105263156,0.447368421052632,0.55,-0.102631578947368
"35","Köln","GER",7,1.52941176470588,1.49705882352941,0.0323529411764705,1.44117647058824,1.52647058823529,-0.0852941176470587,0.088235294117647,-0.03,0.118235294117647
"36","Manchester Utd","ENG",6,1.5,1.44210526315789,0.0578947368421054,1.5,1.43421052631579,0.0657894736842106,0,0.01,-0.01
"37","West Ham","ENG",7,1.57894736842105,1.31315789473684,0.265789473684211,1.34210526315789,1.34210526315789,0,0.236842105263158,-0.03,0.266842105263158
"38","Nantes","FRA",9,1.44736842105263,1.15526315789474,0.292105263157895,1.26315789473684,1.45789473684211,-0.194736842105263,0.18421052631579,-0.3,0.48421052631579
"39","Athletic Club","ESP",8,1.13157894736842,1.31842105263158,-0.186842105263158,0.947368421052632,1.00789473684211,-0.0605263157894737,0.184210526315789,0.31,-0.125789473684211
"40","Lille","FRA",10,1.26315789473684,1.37894736842105,-0.115789473684211,1.26315789473684,1.06315789473684,0.2,0,0.32,-0.32
"41","Hellas Verona","ITA",9,1.71052631578947,1.36315789473684,0.347368421052632,1.55263157894737,1.28684210526316,0.265789473684211,0.157894736842105,0.08,0.0778947368421053
"42","Leicester City","ENG",8,1.63157894736842,1.33684210526316,0.294736842105263,1.55263157894737,1.60526315789474,-0.0526315789473686,0.0789473684210527,-0.27,0.348947368421053
"43","Mainz 05","GER",8,1.47058823529412,1.5,-0.0294117647058822,1.32352941176471,1.35294117647059,-0.0294117647058825,0.147058823529412,0.15,-0.00294117647058809
"44","Hoffenheim","GER",9,1.70588235294118,1.62058823529412,0.0852941176470587,1.76470588235294,1.54411764705882,0.220588235294118,-0.0588235294117647,0.07,-0.128823529411765
"45","Brighton","ENG",9,1.10526315789474,1.21052631578947,-0.105263157894737,1.15789473684211,1.2,-0.0421052631578946,-0.0526315789473684,0.01,-0.0626315789473684
"46","Wolves","ENG",10,1,0.944736842105263,0.0552631578947369,1.13157894736842,1.58684210526316,-0.455263157894737,-0.131578947368421,-0.64,0.508421052631579
"47","Torino","ITA",10,1.21052631578947,1.28421052631579,-0.0736842105263158,1.07894736842105,1.05,0.0289473684210526,0.131578947368421,0.23,-0.098421052631579
"48","Sassuolo","ITA",11,1.68421052631579,1.47368421052632,0.210526315789474,1.73684210526316,1.76315789473684,-0.0263157894736841,-0.0526315789473686,-0.29,0.237368421052631
"49","M'Gladbach","GER",10,1.58823529411765,1.69705882352941,-0.108823529411765,1.79411764705882,1.60882352941176,0.185294117647059,-0.205882352941177,0.09,-0.295882352941177
"50","Newcastle Utd","ENG",11,1.15789473684211,1.06052631578947,0.0973684210526318,1.63157894736842,1.45789473684211,0.173684210526316,-0.473684210526316,-0.4,-0.0736842105263157
"51","Crystal Palace","ENG",12,1.31578947368421,1.22105263157895,0.0947368421052632,1.21052631578947,1.07894736842105,0.131578947368421,0.105263157894737,0.14,-0.0347368421052631
"52","Valencia","ESP",9,1.26315789473684,1.03421052631579,0.228947368421053,1.39473684210526,1.24210526315789,0.152631578947368,-0.131578947368421,-0.21,0.078421052631579
"53","Brest","FRA",11,1.28947368421053,1.18947368421053,0.0999999999999999,1.5,1.55789473684211,-0.0578947368421054,-0.210526315789474,-0.37,0.159473684210526
"54","Udinese","ITA",12,1.60526315789474,1.39736842105263,0.207894736842105,1.52631578947368,1.36842105263158,0.157894736842105,0.0789473684210527,0.03,0.0489473684210527
"55","Eint Frankfurt","GER",11,1.32352941176471,1.3,0.0235294117647058,1.44117647058824,1.51470588235294,-0.0735294117647058,-0.117647058823529,-0.21,0.0923529411764706
"56","Wolfsburg","GER",12,1.26470588235294,1.43529411764706,-0.170588235294118,1.58823529411765,1.46470588235294,0.123529411764706,-0.323529411764706,-0.03,-0.293529411764706
"57","Bochum","GER",13,1.11764705882353,1.20294117647059,-0.0852941176470587,1.52941176470588,1.67058823529412,-0.141176470588235,-0.411764705882353,-0.47,0.0582352941176472
"58","Osasuna","ESP",10,0.973684210526316,0.976315789473684,-0.00263157894736843,1.34210526315789,1.19473684210526,0.147368421052632,-0.368421052631579,-0.22,-0.148421052631579
"59","Celta Vigo","ESP",11,1.13157894736842,1.16578947368421,-0.0342105263157895,1.13157894736842,1.22368421052632,-0.0921052631578947,0,-0.06,0.06
"60","Reims","FRA",12,1.13157894736842,1.01842105263158,0.113157894736842,1.15789473684211,1.29210526315789,-0.13421052631579,-0.0263157894736843,-0.27,0.243684210526316
"61","Brentford","ENG",13,1.26315789473684,1.25789473684211,0.00526315789473686,1.47368421052632,1.29210526315789,0.181578947368421,-0.210526315789474,-0.03,-0.180526315789474
"62","Bologna","ITA",13,1.15789473684211,1.16052631578947,-0.00263157894736832,1.44736842105263,1.42631578947368,0.0210526315789474,-0.289473684210526,-0.27,-0.0194736842105263
"63","Aston Villa","ENG",14,1.36842105263158,1.15789473684211,0.210526315789474,1.42105263157895,1.29210526315789,0.128947368421052,-0.0526315789473684,-0.13,0.0773684210526316
"64","Montpellier","FRA",13,1.28947368421053,1.15,0.139473684210526,1.60526315789474,1.54473684210526,0.0605263157894738,-0.315789473684211,-0.39,0.0742105263157894
"65","Augsburg","GER",14,1.14705882352941,1.12058823529412,0.026470588235294,1.64705882352941,1.71470588235294,-0.0676470588235294,-0.5,-0.59,0.09
"66","Rayo Vallecano","ESP",12,1.02631578947368,1.19473684210526,-0.168421052631579,1.31578947368421,1.22894736842105,0.0868421052631578,-0.289473684210526,-0.04,-0.249473684210526
"67","Elche","ESP",13,1.05263157894737,0.918421052631579,0.134210526315789,1.36842105263158,1.60789473684211,-0.239473684210526,-0.315789473684211,-0.69,0.374210526315789
"68","Espanyol","ESP",14,1.05263157894737,0.997368421052632,0.0552631578947368,1.39473684210526,1.36578947368421,0.0289473684210526,-0.342105263157895,-0.37,0.0278947368421053
"69","Angers","FRA",14,1.15789473684211,1.17894736842105,-0.0210526315789472,1.44736842105263,1.28947368421053,0.157894736842105,-0.289473684210526,-0.11,-0.179473684210526
"70","Empoli","ITA",14,1.31578947368421,1.22631578947368,0.0894736842105264,1.84210526315789,1.78421052631579,0.0578947368421052,-0.526315789473684,-0.56,0.033684210526316
"71","Southampton","ENG",15,1.13157894736842,1.23157894736842,-0.0999999999999999,1.76315789473684,1.54210526315789,0.221052631578947,-0.631578947368421,-0.31,-0.321578947368421
"72","Getafe","ESP",15,0.868421052631579,0.778947368421053,0.0894736842105263,1.07894736842105,1.02631578947368,0.0526315789473684,-0.210526315789474,-0.25,0.0394736842105263
"73","Cádiz","ESP",17,0.921052631578947,1.09210526315789,-0.171052631578947,1.34210526315789,1.38947368421053,-0.0473684210526315,-0.421052631578947,-0.3,-0.121052631578947
"74","Everton","ENG",16,1.13157894736842,1.12631578947368,0.00526315789473686,1.73684210526316,1.43421052631579,0.302631578947369,-0.605263157894737,-0.31,-0.295263157894737
"75","Mallorca","ESP",16,0.947368421052632,1.05263157894737,-0.105263157894737,1.65789473684211,1.27105263157895,0.386842105263158,-0.710526315789474,-0.22,-0.490526315789474
"76","Troyes","FRA",15,0.973684210526316,1.03947368421053,-0.0657894736842105,1.39473684210526,1.33947368421053,0.0552631578947367,-0.421052631578947,-0.3,-0.121052631578947
"77","Granada","ESP",18,1.15789473684211,1.09210526315789,0.0657894736842106,1.60526315789474,1.61578947368421,-0.0105263157894735,-0.447368421052632,-0.53,0.0826315789473684
"78","Leeds United","ENG",17,1.10526315789474,1.24210526315789,-0.136842105263158,2.07894736842105,1.84473684210526,0.23421052631579,-0.973684210526316,-0.6,-0.373684210526316
"79","Stuttgart","GER",15,1.20588235294118,1.33235294117647,-0.126470588235294,1.73529411764706,1.51470588235294,0.220588235294118,-0.529411764705882,-0.18,-0.349411764705882
"80","Hertha BSC","GER",16,1.08823529411765,1.00294117647059,0.0852941176470587,2.08823529411765,1.62647058823529,0.461764705882353,-1,-0.62,-0.38
"81","Sampdoria","ITA",15,1.21052631578947,0.973684210526316,0.236842105263158,1.65789473684211,1.53947368421053,0.118421052631579,-0.447368421052632,-0.57,0.122631578947368
"82","Lorient","FRA",16,0.921052631578947,1.15263157894737,-0.231578947368421,1.65789473684211,1.37105263157895,0.286842105263158,-0.736842105263158,-0.22,-0.516842105263158
"83","Spezia","ITA",16,1.07894736842105,1.03421052631579,0.0447368421052632,1.86842105263158,1.77894736842105,0.0894736842105266,-0.789473684210526,-0.74,-0.0494736842105263
"84","Clermont Foot","FRA",17,1,1.18157894736842,-0.181578947368421,1.81578947368421,1.39473684210526,0.421052631578948,-0.815789473684211,-0.21,-0.605789473684211
"85","Burnley","ENG",18,0.894736842105263,1.02631578947368,-0.131578947368421,1.39473684210526,1.49210526315789,-0.0973684210526318,-0.5,-0.47,-0.0299999999999999
"86","Levante","ESP",19,1.34210526315789,1.48684210526316,-0.144736842105263,2,1.47894736842105,0.521052631578947,-0.657894736842105,0.01,-0.667894736842105
"87","Saint-Étienne","FRA",18,1.10526315789474,1.07894736842105,0.0263157894736843,2.02631578947368,1.61052631578947,0.41578947368421,-0.921052631578947,-0.53,-0.391052631578947
"88","Arminia","GER",17,0.794117647058823,0.829411764705882,-0.0352941176470588,1.55882352941176,1.83235294117647,-0.273529411764706,-0.764705882352941,-1,0.235294117647059
"89","Alavés","ESP",20,0.815789473684211,0.971052631578947,-0.155263157894737,1.71052631578947,1.54473684210526,0.16578947368421,-0.894736842105263,-0.57,-0.324736842105263
"90","Metz","FRA",19,0.921052631578947,0.794736842105263,0.126315789473684,1.81578947368421,1.67894736842105,0.136842105263158,-0.894736842105263,-0.88,-0.0147368421052633
"91","Bordeaux","FRA",20,1.36842105263158,1.17894736842105,0.189473684210526,2.39473684210526,1.83157894736842,0.563157894736842,-1.02631578947368,-0.65,-0.376315789473684
"92","Salernitana","ITA",17,0.868421052631579,0.992105263157895,-0.123684210526316,2.05263157894737,1.73421052631579,0.318421052631579,-1.18421052631579,-0.74,-0.44421052631579
"93","Cagliari","ITA",18,0.894736842105263,1.03947368421053,-0.144736842105263,1.78947368421053,1.61842105263158,0.171052631578947,-0.894736842105263,-0.58,-0.314736842105263
"94","Genoa","ITA",19,0.710526315789474,0.994736842105263,-0.284210526315789,1.57894736842105,1.35789473684211,0.221052631578947,-0.868421052631579,-0.36,-0.508421052631579
"95","Venezia","ITA",20,0.894736842105263,0.95,-0.0552631578947369,1.81578947368421,1.91052631578947,-0.094736842105263,-0.921052631578947,-0.96,0.0389473684210525
"96","Watford","ENG",19,0.894736842105263,1.02105263157895,-0.126315789473684,2.02631578947368,1.75263157894737,0.273684210526316,-1.13157894736842,-0.73,-0.401578947368421
"97","Norwich City","ENG",20,0.605263157894737,0.876315789473684,-0.271052631578947,2.21052631578947,2.02631578947368,0.18421052631579,-1.60526315789474,-1.15,-0.455263157894737
"98","Greuther Fürth","GER",18,0.823529411764706,0.902941176470588,-0.0794117647058824,2.41176470588235,1.77352941176471,0.638235294117647,-1.58823529411765,-0.87,-0.718235294117647
